Name,Carrier Type,Method code,Has Transactions,Creation Date
JE FORTIN,Land Carrier,Ground,No,01/03/2025
Transport LFL,Land Carrier,Ground,No,01/02/2025
DID Logistics,Land Carrier,Ground,No,12/26/2024
Dole Shipping,Ocean Carrier,Ocean,No,12/12/2024
Dan Freight,Land Carrier,Ground,No,11/15/2024
Argus Transportation,Land Carrier,Ground,No,07/18/2024
Elevated,Land Carrier,Ground,No,06/04/2024
SFX Transport,Land Carrier,Ground,No,06/03/2024
Ulloa Transport,Land Carrier,Ground,No,05/09/2024
Lealta Transport,Land Carrier,Ground,No,05/09/2024
Traffic Tech,Land Carrier,Ground,No,05/08/2024
Dhanoa Enterprises,Land Carrier,Ground,No,05/02/2024
COSCO Shipping,Ocean Carrier,Ocean,No,04/29/2024
Highway Motor Freight,Land Carrier,Ground,No,04/19/2024
TQL,Land Carrier,Ground,No,03/11/2024
Megacorp,Land Carrier,Ground,No,02/26/2024
ONE,Ocean Carrier,Ocean,No,01/31/2024
TMG Logistics,Land Carrier,Ground,No,10/02/2023
CTX,Land Carrier,Ground,No,09/29/2023
HGC Inc.,Land Carrier,Ground,No,09/22/2023
Gosal Trucking,Land Carrier,Ground,No,09/22/2023
Maersk,Ocean Carrier,Ocean,No,09/14/2023
RF Cargo,Land Carrier,Ground,No,08/01/2023
Amplify Logistics,Land Carrier,Ground,No,05/19/2023
ZIM,Ocean Carrier,Ocean,No,04/14/2023
Sherrington T,Land Carrier,Ground,No,04/06/2023
Seafood,Land Carrier,Ground,No,02/10/2023
Cheema,Land Carrier,Ground,No,02/10/2023
Light Speed,Land Carrier,Ground,No,02/10/2023
Traffix,Land Carrier,Ground,No,11/04/2022
Seafood,Land Carrier,Ground,No,11/04/2022
Zavitz,Land Carrier,Ground,No,03/23/2022
G. Zavitz Ltd,Land Carrier,Ground,No,03/10/2022
Musket,Land Carrier,Ground,No,03/02/2022
Xan Systems,Land Carrier,Ground,No,03/01/2022
ZIM,Land Carrier,Ground,Yes,01/11/2022
CMA,Ocean Carrier,Ocean,No,01/07/2022
Harlyn,Land Carrier,Ground,No,01/06/2022
Darragh,Land Carrier,Ground,No,12/30/2021
MSC,Ocean Carrier,Ocean,No,12/30/2021
Highlight,Land Carrier,Ground,No,12/22/2021
Zavcor,Land Carrier,Ground,No,12/22/2021
Fulger,Land Carrier,Ground,No,12/17/2021
Connors,Land Carrier,Ground,No,12/17/2021
Loadex,Land Carrier,Ground,No,12/16/2021
Seaboard,Ocean Carrier,Ocean,No,12/16/2021
Savoie,Land Carrier,Ground,No,12/15/2021
Network,Ocean Carrier,Ocean,No,12/15/2021
Scotlynn,Land Carrier,Ground,No,12/15/2021
Holt,Land Carrier,Ground,No,12/13/2021
Sealand,Ocean Carrier,Ocean,No,12/13/2021
